n, x0, x1, x2, s, d, y, c, rx0, rx1, rx2, truey at xrecc, taq, tev, trc, realtime
88, 0.409465020576, -1.36922725194, -1.4451303155, 1e-09, [nan], 1.71227103642, 1.0, 0.537037037037, -1.11316872428, -1.22016460905, 1.57926414893,2.76064109802, 0.122862100601, 2.45336294174, 16:31:59  04-07-16
89, -0.168038408779, -0.65454961134, -0.946730681299, 1e-09, [nan], 4.59769859276, 1.0, nan, nan, nan, nan,2.86358499527, 0.122756958008, 8.89301300049e-05, 16:32:02  04-07-16
90, -1.55554708801, -1.99999153246, 0.444452911988, 1e-09, [nan], 1.74449697996, 1.0, nan, nan, nan, nan,4.29547405243, 0.123245000839, 8.60691070557e-05, 16:32:07  04-07-16
91, -1.99999153246, 0.999991532456, 0.00263340615421, 1e-09, [nan], 10.6426196618, 1.0, nan, nan, nan, nan,3.18998003006, 0.121375083923, 8.79764556885e-05, 16:32:10  04-07-16
92, -0.104023776863, -0.877686328304, 0.175354366712, 1e-09, [nan], 1.86068052713, 1.0, 0.537037037037, -1.11316872428, -1.22016460905, 1.57926414893,3.1226580143, 0.126678943634, 2.56710505486, 16:32:16  04-07-16
93, -1.7469813206, -1.99999153246, 0.444435976901, 1e-09, [nan], 1.74706006041, 1.0, nan, nan, nan, nan,3.07391500473, 0.124223947525, 0.000105857849121, 16:32:20  04-07-16
94, -1.99999717749, -1.99999717749, 0.627199444529, 1e-09, [nan], 1.6232950311, 1.0, nan, nan, nan, nan,3.18650221825, 0.124425888062, 8.60691070557e-05, 16:32:23  04-07-16
95, -1.99999153246, -1.1605022947, 0.350276888686, 1e-09, [nan], 1.83401374732, 1.0, nan, nan, nan, nan,3.24049377441, 0.125741004944, 7.91549682617e-05, 16:32:26  04-07-16
96, 0.165294924554, -1.9999237921, 0.0518975765889, 1e-09, [nan], 1.80830503565, 1.0, 0.528806584362, -1.07613168724, -1.21604938272, 1.58531644736,3.26950407028, 0.126029014587, 2.67506098747, 16:32:33  04-07-16
97, -0.251105014479, -1.38690748362, 0.333409541228, 1e-09, [nan], 1.68440963383, 1.0, nan, nan, nan, nan,3.25737905502, 0.127710819244, 9.10758972168e-05, 16:32:36  04-07-16
98, 0.173068129858, -1.89323273891, -1.85802469136, 1e-09, [nan], 2.44942689723, 1.0, nan, nan, nan, nan,3.34774112701, 0.125339031219, 8.39233398438e-05, 16:32:40  04-07-16
99, -0.365874104557, -1.9999237921, -0.603033074226, 1e-09, [nan], 4.51623761933, 1.0, nan, nan, nan, nan,3.43564510345, 0.129528999329, 8.79764556885e-05, 16:32:44  04-07-16
100, -0.376085962506, -1.02857796068, -0.340420667581, 1e-09, [nan], 3.5680785927, 1.0, 0.537037037037, -1.11316872428, -1.22016460905, 1.57926414893,3.51514911652, 0.122346878052, 2.88104009628, 16:32:50  04-07-16
