n, x0, x1, x2, s, xa, d, y, c, rx0, rx1, rx2, truey at xrecc, taq, tev, trc, realtime
91, -0.172839506173, 0.987654320988, -0.987654320988, 1e-06, 0.12962962963, [nan], 10.9973119478, 0.844994999999, 0.288065843621, -0.186556927298, 0.998628257888, 51.0085428467,13.5885839462, 0.767668008804, 2.71535611153, 13:02:06  06-07-16
92, -0.123456790123, 0.987654320988, -0.444444444444, 1e-06, 0.277777777778, [nan], 10.9192849851, 0.849242, 0.285322359396, -0.181069958848, 0.998628257888, 51.0126648677,13.6047618389, 0.771790027618, 2.72077918053, 13:02:24  06-07-16
93, -0.197530864198, 0.962962962963, -0.469135802469, 1e-06, 0.104938271605, [nan], 11.2666726596, 0.861405000001, 0.288065843621, -0.186556927298, 0.998628257888, 51.0043351304,13.9984719753, 0.784080028534, 2.80833101273, 13:02:43  06-07-16
94, -0.0740740740741, 0.987654320988, -0.592592592593, 1e-06, 0.117283950617, [nan], 10.9269586733, 0.871729, 0.334705075446, -0.181069958848, 0.998628257888, 51.2817994301,13.9154100418, 0.7945728302, 2.8473110199, 13:03:01  06-07-16
95, -0.296296296296, 0.987654320988, -0.617283950617, 1e-06, 0.29012345679, [nan], 11.0125806197, 0.864319, 0.334705075446, -0.181069958848, 0.998628257888, 51.2961256451,14.0374829769, 0.787122964859, 2.84227895737, 13:03:20  06-07-16
96, 0.0246913580247, 0.987654320988, -0.79012345679, 1e-06, 0.12962962963, [nan], 10.8032992359, 0.870025, 0.334705075446, -0.181069958848, 0.998628257888, 51.2839082411,14.2928609848, 0.792927026749, 2.78514289856, 13:03:38  06-07-16
97, -0.172839506173, 0.987654320988, -0.864197530864, 1e-06, 0.12962962963, [nan], 10.9870139931, 0.850154, 0.334705075446, -0.172839506173, 0.998628257888, 51.297074106,14.0281879902, 0.773024082184, 2.97354578972, 13:03:57  06-07-16
98, -0.37037037037, 0.987654320988, -0.864197530864, 1e-06, 0.117283950617, [nan], 11.0900374484, 0.851713, 0.334705075446, -0.164609053498, 0.998628257888, 51.3080755399,14.6178991795, 0.774528980255, 3.11300396919, 13:04:16  06-07-16
99, -0.148148148148, 0.987654320988, -0.641975308642, 1e-06, 0.104938271605, [nan], 10.9082045761, 0.850195999999, 0.334705075446, -0.164609053498, 0.998628257888, 51.3059650162,14.4461159706, 0.773103952408, 3.14172101021, 13:04:35  06-07-16
100, -0.271604938272, 0.987654320988, -0.666666666667, 1e-06, 0.117283950617, [nan], 11.0108922859, 1.048446, 0.334705075446, -0.164609053498, 0.998628257888, 51.3080755399,14.851981163, 0.97129201889, 3.13962101936, 13:04:55  06-07-16
